 Combined Treatments,Cmic (mg/kg),Nmic (µg (g soil)-1),C/N ratio (%),Ctot (%),N tot (%),Humus (%),CEC (mmolc/kg),pH (CaCl2),Clay content (%)
nFL-nFER,356.2698164,13.03753373,9.973210361,3.609992981,0.361969,3,85.57329359,5.15,40
nFL-nFER,299.180282,10.11461332,9.080078205,3.110961914,0.342614,3,88.66525564,5.07,40
nFL-nFER,355.4994717,17.86489781,10.45936155,3.617548,0.345867,3,105.2598511,5.14,40
nFL-nFER,290.1292417,12.5974597,9.294469547,3.36523,0.362068,3,79.88402127,5.08,40
nFL-FER,303.2051433,7.417177401,9.497579614,4.292849,0.451994,2,74.2482078,5.59,30
nFL-FER,263.0598168,2.184593496,10.10945687,3.744836,0.370429,2,77.32260339,5.33,30
nFL-FER,304.7449324,11.02361177,10.70703011,4.196235,0.391914,2,76.03678173,5.55,30
nFL-FER,212.8796799,2.160780324,10.0483488,3.728269,0.371033,2,74.92703581,5.27,30
FL-nFER,569.0825257,19.29604415,9.299345525,4.597987,0.49,3,96.07208421,5.38,40
FL-nFER,464.3006036,15.5351723,9.562117307,4.018126,0.42,3,72.04766133,5.25,40
FL-nFER,560.1868756,16.12385792,8.764259287,4.600237,0.52,3,98.45434239,5.36,40
FL-nFER,448.3525445,16.89139334,9.377025454,4.004018,0.43,3,70.30343831,5.25,40
FL-FER,730.0083163,23.61031029,9.999096014,5.696475,0.569699,3,83.81980404,5.16,30
FL-FER,653.1426294,24.54031477,10.72165614,8.039012,0.749792,3,77.88637474,4.97,30
FL-FER,725.4069209,30.24777344,10.36653126,5.683316,0.548237,3,83.62154255,5.16,30
FL-FER,712.6124789,28.43472831,10.23031095,5.623694,0.549709,3,73.30766381,4.99,30
